time,arrivals,departures
2014/07,1.59,1.34
2014/08,1.36,1.43
2014/09,1.38,1.41
2014/10,1.57,1.3
2014/11,1.34,1.36
2014/12,1.46,1.71
2015/01,1.78,1.49
2015/02,1.42,1.24
2015/03,1.39,1.45
2015/04,1.37,1.41
2015/05,1.22,1.31
2015/06,1.23,1.46
2015/07,1.65,1.43
2015/08,1.42,1.45
2015/09,1.46,1.48
2015/10,1.65,1.4
2015/11,1.42,1.44
2015/12,1.58,1.85
2016/01,1.91,1.64
2016/02,1.56,1.37
2016/03,1.48,1.54
2016/04,1.47,1.49
2016/05,1.3,1.39
2016/06,1.33,1.58
2016/07,1.83,1.57
2016/08,1.51,1.55
2016/09,1.59,1.6
2016/10,1.78,1.5
2016/11,1.51,1.54
2016/12,1.72,1.99
2017/01,2.07,1.78
2017/02,1.63,1.39
2017/03,1.52,1.58
2017/04,1.65,1.71
2017/05,1.4,1.49
2017/06,1.42,1.67
2017/07,1.91,1.65
2017/08,1.62,1.66
2017/09,1.67,1.7
2017/10,1.88,1.57
2017/11,1.6,1.64
2017/12,1.76,2.08
2018/01,2.13,1.81
2018/02,1.73,1.52
2018/03,1.68,1.74
2018/04,1.67,1.71
2018/05,1.48,1.56
2018/06,1.51,1.79
2018/07,2.01,1.73
2018/08,1.72,1.77
2018/09,1.72,1.76
2018/10,1.96,1.64
2018/11,1.67,1.72
2018/12,1.85,2.18
2019/01,2.22,1.91
2019/02,1.79,1.52
2019/03,1.66,1.68
2019/04,1.67,1.83
2019/05,1.59,1.63
2019/06,1.56,1.8
2019/07,2.01,1.76
2019/08,1.78,1.81
2019/09,1.75,1.8
2019/10,1.98,1.68
2019/11,1.72,1.74
2019/12,1.89,2.24
2020/01,2.26,1.97
2020/02,1.57,1.29
2020/03,0.92,0.83
2020/04,0.02,0.06
2020/05,0.02,0.03
2020/06,0.03,0.04
2020/07,0.02,0.06
2020/08,0.01,0.06
2020/09,0.02,0.05
2020/10,0.02,0.05
2020/11,0.03,0.04
2020/12,0.03,0.05
2021/01,0.03,0.04
2021/02,0.03,0.03
2021/03,0.03,0.03
2021/04,0.05,0.06
2021/05,0.11,0.11
2021/06,0.1,0.1
2021/07,0.07,0.09
2021/08,0.03,0.04
2021/09,0.02,0.03
2021/10,0.02,0.04
2021/11,0.07,0.09
2021/12,0.2,0.23
2022/01,0.27,0.19
2022/02,0.27,0.18
2022/03,0.37,0.34
2022/04,0.57,0.61
2022/05,0.65,0.66
2022/06,0.73,0.88
2022/07,1.08,0.97
2022/08,1.03,0.94
2022/09,1.07,1.04
2022/10,1.21,1.01
2022/11,1.19,1.18
2022/12,1.26,1.52
2023/01,1.61,1.38
2023/02,1.38,1.07
2023/03,1.34,1.32
2023/04,1.37,1.43
2023/05,1.3,1.36
2023/06,1.36,1.56
2023/07,1.74,1.49
2023/08,1.54,1.52
2023/09,1.6,1.59
2023/10,1.74,1.48
2023/11,1.56,1.59
2023/12,1.7,2.03
2024/01,2.12,1.75
2024/02,1.79,1.49
2024/03,1.61,1.71
2024/04,1.63,1.65
2024/05,1.48,1.56
2024/06,1.53,1.76
2024/07,1.93,1.65
2024/08,1.66,1.7
